h_type,date,adress,loc,num_floor,unit_per_floor,price,age,statuse,view,doc_status,north,south,west,east,floor,area,num_sleep,telephone,kitchen,service,floor_covering,open,parking,warehouse,balcony,equipment,Document_type,Propertyـstatus
آپارتمان,1404/02/10,تهرانپارس 206 غربی,4,5,2,"12,900,000,000 تومان",16,تخلیه,گرانيت,شخصي,0,1,0,0,5,115,3,1,هایگلاس,ايراني فرنگي,سنگ,1,1,1,1,کولر_آسانسور_پکیج,شخصي,تخلیه
آپارتمان,1404/01/30,تهرانپارس خ 212 شرقی,4,6,4,"7,000,000,000 تومان",24,تخلیه,گرانيت,شخصي,1,0,0,0,3,66,1,0,MDF,فرنگی,پارکت,1,1,1,1,شوفاژ_کولر_آسانسور,شخصي,تخلیه
آپارتمان,1404/02/01,جشنواره خ سیری خ نباتی,4,5,4,"5,000,000,000 تومان",12,اجاره,سنگ,شخصي,0,1,0,0,1,69,1,1,MDF,ايرانی,سراميک,1,0,1,0,شوفاژ_کولر_آسانسور_گاز,شخصي,اجاره
آپارتمان,1404/01/30,حكیمیه خ سازمان آب,4,7,5,"5,400,000,000 تومان",6,تخلیه,سنگ,شخصي,1,0,0,0,1,60,1,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,شوفاژ_کولر_آسانسور_گاز,شخصي,تخلیه
آپارتمان,1404/01/28,تهرانپارس خ 182شرقی,4,5,3,"9,130,000,000 تومان",13,اجاره,سنگ,شخصي,0,1,0,0,1,83,2,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,کولر_آسانسور_پکیج_گاز,شخصي,اجاره
آپارتمان,1404/02/10,شمس آباد خ منصوری,4,4,1,"7,500,000,000 تومان",نوساز,تخلیه,سنگ,شخصي,0,1,0,0,3,46,1,1,MDF,ايراني فرنگي,سراميک,1,1,0,1,شوفاژ_کولر_آسانسور_پکیج_گاز,شخصي,تخلیه
آپارتمان,1404/02/08,تهران پارس فلكه 1 خ بهار,4,6,1,"24,025,000,000 تومان",10,مسکونی,سنگ,شخصي,0,1,0,0,1,155,3,1,هایگلاس,ايراني فرنگي,سنگ,1,1,1,1,کولر_آسانسور_پکیج_سونا_جکوزی_گاز,شخصي,مسکونی
آپارتمان,1404/02/03,جشنواره خ زهدی,4,5,3,"4,275,000,000 تومان",16,اجاره,سنگ,شخصي,1,0,0,0,2,54,1,1,MDF,ايرانی,سراميک,1,0,1,0,شوفاژ_کولر_آسانسور,شخصي,اجاره
آپارتمان,1404/02/09,جشنواره نرسیده به خ زارع,4,4,1,"17,500,000,000 تومان",5,مسکونی,سنگ,شخصي,0,0,1,1,4,145,3,1,MDF,ايراني فرنگي,سنگ,1,1,1,1,شوفاژ_کولر_آسانسور_پکیج_گاز,شخصي,مسکونی
آپارتمان,1404/02/03,تهرانپارس خ وفادارشرقی,4,4,1,"1,900,000,000 تومان",16,مسکونی,سنگ,قولنامه اي,0,1,0,0,2,45,1,1,MDF,ايرانی,سراميک,1,0,0,0,شوفاژ_کولر_گاز,قولنامه اي,مسکونی
آپارتمان,1404/02/10,بنی هاشم بالاتراز ك جاویدان,4,4,2,"9,900,000,000 تومان",20,اجاره,سنگ,شخصي,0,1,0,0,4,90,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,شوفاژ_کولر_گاز,شخصي,اجاره
آپارتمان,1404/02/09,تهرانپارس خ 216 شرقی,4,4,3,"6,200,000,000 تومان",18,مسکونی,آجر,مسکوني,1,0,0,0,3,71,1,1,فلزي,ايراني فرنگي,سراميک,1,0,1,0,شوفاژ_کولر_گاز,مسکوني,مسکونی
آپارتمان,1404/02/01,تهران پارس خ وفادار شرقی بین 135و137,4,5,3,"6,950,000,000 تومان",6,مسکونی,سنگ,شخصي,1,0,0,0,3,78,2,1,MDF,ايرانی,سراميک,1,1,0,1,شوفاژ_کولر_آسانسور_گاز,شخصي,مسکونی
آپارتمان,1404/02/08,جشنواره خ هلیسائی,4,7,3,"6,200,000,000 تومان",2,تخلیه,سنگ,شخصي,0,0,1,0,3,77,2,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,شوفاژ_کولر_آسانسور_گاز,شخصي,تخلیه
آپارتمان,1404/02/08,هنگام شمیران نو خ غفاری,4,4,2,"2,200,000,000 تومان",14,مسکونی,سنگ,قولنامه اي,0,1,0,0,2,50,1,1,MDF,ايرانی,سراميک,1,0,0,0,کولر_گاز,قولنامه اي,مسکونی
آپارتمان,1404/02/06,فرجام غربی میدان 13,4,4,1,"3,600,000,000 تومان",17,اجاره,سنگ,شخصي,1,0,0,0,1,37,1,1,MDF,ايرانی,سنگ,1,0,0,0,کولر_گاز,شخصي,اجاره
آپارتمان,1404/01/28,هنگام بالاتر از میدان الغدیر,4,4,2,"5,000,000,000 تومان",13,مسکونی,سنگ,شخصي,0,1,0,0,4,56,1,1,MDF,ايرانی,سراميک,1,0,1,1,شوفاژ_کولر_آسانسور_پکیج_گاز,شخصي,مسکونی
آپارتمان,1404/02/11,حكیمیه بهار پور مختار,4,2,1,"12,000,000,000 تومان",30,تخلیه,سنگ,شخصي,1,1,0,0,1,128,3,1,MDF,ايرانی,سراميک,1,0,1,1,شوفاژ_کولر_گاز,شخصي,تخلیه
آپارتمان,1404/02/07,هنگام شمیران نو میدان پاكدامن,4,3,1,"3,000,000,000 تومان",20,تخلیه,سنگ,شخصي,0,1,0,0,همكف,50,1,1,MDF,ايرانی,سراميک,1,0,0,1,کولر_گاز,شخصي,تخلیه
آپارتمان,1404/02/03,تهران پارس بلوار پروین ك 198,4,4,2,"6,350,000,000 تومان",300,12,27,مسکونی,0,1,0,0,4,84,2,1,MDF,ايرانی,سراميک,1,1,1,0,کولر_گاز,شخصي,مسکونی
آپارتمان,1404/02/10,تهرانپارس خیابان 160 غربی,4,5,1,"24,500,000,000 تومان",10,تخلیه,سنگ و شيشه,شخصي,1,0,0,0,1,176,3,1,MDF,ايراني فرنگي,سنگ,1,1,1,1,شوفاژ_کولر_آسانسور_حیاط خلوت,شخصي,تخلیه
